Temp.treatment ,Temp.value,petri_dish ,disc,Fitness
low,25,A,1,5
low,25,A,2,10
low,25,A,3,5
low,25,A,4,7
low,25,A,5,13
low,25,A,6,16
low,25,A,7,13
low,25,A,8,2
low,25,A,9,17
low,25,A,10,13
low,25,A,11,21
low,25,A,12,4
low,25,A,13,7
low,25,A,14,16
low,25,A,15,4
low,25,A,16,5
low,25,B,1,4
low,25,B,2,7
low,25,B,3,10
low,25,B,4,18
low,25,B,5,9
low,25,B,6,5
low,25,B,7,11
low,25,B,8,5
low,25,B,9,6
low,25,B,10,20
low,25,B,11,2
low,25,B,12,12
low,25,B,13,1
low,25,B,14,1
low,25,B,15,1
high,35,A,3,4
high,35,A,4,2
high,35,A,6,16
high,35,A,9,4
high,35,A,10,10
high,35,A,11,12
high,35,A,12,0
high,35,A,14,1
high,35,B,2,9
high,35,B,7,15
high,35,B,8,1
high,35,B,10,10
high,35,B,11,4
high,35,B,13,10
high,35,B,15,8
high,35,B,16,0
opt,30,A,1,18
opt,30,A,4,4
opt,30,A,6,6
opt,30,A,7,8
opt,30,A,8,8
opt,30,A,9,2
opt,30,A,12,7
opt,30,A,13,7
opt,30,A,16,3
opt,30,B,1,11
opt,30,B,4,5
opt,30,B,8,19
opt,30,B,11,5
opt,30,B,12,14
opt,30,B,13,6
opt,30,B,15,7
